"INT_ID","Angle","Front_to_Rear","Head_On","Sideswipe_Same_Dir","Sideswipe_Opp_Dir","Parked_Veh","Rear_to_Side","Rear_to_Rear","Single_Veh","Sev_1","Sev_2","Sev_3","Sev_4","Sev_5"
1406,11,5,0,5,0,2,0,0,0,12,4,7,0,0
1407,14,31,0,3,0,0,0,0,7,31,15,9,0,0
1408,0,2,1,0,0,0,0,0,0,3,0,0,0,0
1409,5,9,1,3,0,1,0,0,1,10,6,3,1,0
1410,6,4,0,0,0,1,0,0,5,6,4,5,1,0
1411,21,5,1,2,0,0,0,0,1,11,10,8,1,0
1412,14,19,1,5,0,1,0,0,7,21,14,11,1,0
1413,1,4,0,1,0,1,0,0,8,9,5,1,0,0
1414,19,3,2,3,2,0,0,0,2,13,11,6,1,0
1415,9,3,1,7,1,0,0,0,3,14,3,6,1,0
1416,28,10,2,7,1,0,1,0,3,21,15,16,0,0
1417,22,11,1,2,1,0,0,0,4,22,10,7,2,0
1418,15,4,0,0,0,0,0,0,2,8,5,6,1,1
1419,11,5,1,1,0,0,0,0,2,8,3,8,1,0
1420,2,0,0,1,0,0,0,0,1,3,0,1,0,0
1421,0,3,0,0,0,1,0,0,5,6,1,2,0,0
1422,0,0,0,0,0,0,0,0,2,1,0,1,0,0
1423,2,0,0,0,0,1,0,0,4,5,2,0,0,0
1424,1,3,0,0,0,0,0,0,1,2,2,1,0,0
1425,0,1,0,0,0,0,0,0,2,2,1,0,0,0
1426,13,6,1,1,0,0,0,0,4,10,11,4,0,0
1427,3,1,1,0,0,0,0,0,1,5,0,0,1,0
1428,7,1,0,0,1,0,1,0,6,5,4,6,1,0
1429,10,10,0,2,0,0,0,0,6,13,8,7,0,0
1430,10,8,0,2,0,0,0,0,3,9,10,4,0,0
1431,7,2,0,0,0,0,0,0,2,3,7,1,0,0
1432,4,6,0,1,0,0,0,0,5,9,3,4,0,0
1433,6,8,0,0,0,0,0,0,3,11,4,2,0,0
1434,18,15,2,2,0,0,0,0,12,23,16,10,0,0
1435,28,3,4,1,1,0,0,0,4,17,17,7,0,0
1436,3,11,0,1,1,0,0,0,10,15,5,5,1,0
1437,13,3,0,0,1,0,0,0,9,5,8,12,1,0
1438,38,9,1,2,1,1,0,0,10,29,20,12,1,0
1439,14,14,2,4,1,0,0,0,7,15,11,14,2,0
1440,2,9,0,1,0,0,0,0,3,9,5,1,0,0
1441,5,5,0,1,0,0,0,0,5,3,8,5,0,0
1442,5,1,0,0,1,0,0,0,2,2,6,1,0,0
1443,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1444,11,10,5,0,0,1,0,0,6,13,11,7,2,0
1445,12,6,2,1,1,0,0,0,7,16,5,7,0,1
1446,0,5,0,0,1,1,0,0,1,4,3,1,0,0
1447,8,8,0,1,1,0,0,0,7,13,5,6,1,0
1448,6,0,0,0,0,0,0,0,2,2,3,2,1,0
1449,2,0,0,2,0,0,0,0,1,4,1,0,0,0
1450,12,6,0,6,0,0,0,0,4,19,2,6,1,0
1451,16,7,3,5,0,0,0,0,14,22,16,7,0,0
1452,2,6,1,3,1,0,0,0,1,7,2,5,0,0
1453,2,1,0,0,0,0,0,0,1,4,0,0,0,0
1454,2,8,0,4,0,0,0,0,2,10,3,3,0,0
1455,27,18,1,1,0,0,0,0,4,26,17,8,0,0
1456,11,14,0,6,0,0,0,0,6,18,13,6,0,0
1457,5,3,3,0,0,0,0,0,2,9,3,1,0,0
1459,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1462,1,2,0,0,0,0,0,0,2,4,1,0,0,0
1463,3,9,0,1,0,0,1,0,3,4,7,6,0,0
1465,4,3,1,1,0,0,0,0,2,7,2,2,0,0
1466,4,4,1,0,0,0,0,0,1,3,5,2,0,0
1468,8,2,1,0,0,0,0,0,3,4,3,7,0,0
1469,5,2,0,0,0,0,0,0,1,3,4,1,0,0
1470,2,5,0,0,1,0,0,0,4,4,5,3,0,0
1471,6,11,0,1,0,0,0,0,1,10,7,2,0,0
1472,62,32,5,6,4,2,0,0,6,74,24,18,1,0
1473,2,4,0,0,0,0,0,0,0,2,2,2,0,0
1474,31,16,3,5,5,0,0,0,7,20,22,22,3,0
1475,1,0,0,0,0,0,0,0,1,0,0,2,0,0
1476,7,4,1,1,2,0,0,0,3,7,5,6,0,0
1477,5,0,0,2,1,1,0,0,6,8,3,4,0,0
1478,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1479,4,5,0,0,0,0,0,0,1,6,1,3,0,0
1482,1,1,0,0,0,0,0,0,1,2,0,1,0,0
1483,23,14,5,7,2,0,0,0,4,43,4,7,1,0
1484,0,9,0,2,1,0,0,0,0,11,1,0,0,0
1485,9,8,2,2,0,0,0,1,6,16,7,3,1,1
1486,16,31,5,8,0,0,0,0,1,46,9,5,1,0
1487,5,4,0,0,0,0,0,0,0,7,2,0,0,0
1488,6,2,0,1,1,0,0,0,2,10,1,1,0,0
1489,5,9,1,0,1,0,0,0,1,12,4,1,0,0
1492,35,28,5,5,5,0,1,0,3,60,16,5,0,1
1493,30,48,0,16,1,0,0,0,5,74,16,6,3,1
1494,11,8,6,3,1,0,0,0,2,21,7,2,1,0
1496,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1498,7,1,0,1,0,1,0,0,1,4,3,3,1,0
1499,7,3,2,1,0,1,0,0,0,9,1,4,0,0
1500,12,4,0,0,2,0,0,0,0,12,2,3,1,0
1501,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1502,20,26,1,8,0,0,0,0,5,48,11,0,1,0
1503,58,62,6,14,1,1,0,1,6,110,28,10,1,0
1504,8,14,3,3,1,0,0,0,3,24,6,2,0,0
1505,3,9,2,3,1,0,0,0,2,16,3,1,0,0
1506,2,7,0,0,0,0,0,0,0,7,1,1,0,0
1507,6,11,0,2,0,0,0,0,3,15,6,1,0,0
1508,1,2,0,3,0,0,0,0,2,5,3,0,0,0
1509,12,9,1,0,0,0,0,0,4,20,2,4,0,0
1510,16,8,0,2,0,0,0,0,0,19,6,1,0,0
1512,13,11,0,4,1,0,0,0,2,24,5,2,0,0
1513,12,1,0,4,1,0,0,0,0,14,3,1,0,0
1514,31,21,1,2,0,1,0,0,6,35,21,6,0,0
1516,45,45,3,14,3,0,0,0,5,86,24,3,2,0
1519,2,7,0,0,0,0,0,0,1,6,1,3,0,0
1520,5,6,1,1,0,0,0,0,1,10,2,2,0,0
1521,3,1,0,0,0,0,0,0,0,4,0,0,0,0
1522,3,0,0,0,0,0,0,0,1,3,0,1,0,0
1524,6,14,1,3,0,0,0,1,2,17,5,5,0,0
1526,53,30,4,4,2,0,0,0,5,67,21,10,0,0
1527,8,9,0,4,0,0,0,0,1,15,5,2,0,0
1528,3,0,1,2,1,0,0,0,0,5,2,0,0,0
1529,3,0,1,2,1,0,0,0,0,5,2,0,0,0
1532,4,11,0,0,0,0,0,0,2,12,4,0,1,0
1534,3,4,0,1,0,0,0,0,0,6,1,1,0,0
1535,4,5,1,2,0,0,0,0,2,10,3,1,0,0
1536,5,2,2,1,3,0,0,0,2,11,2,2,0,0
1537,14,11,4,5,2,0,0,0,1,32,4,0,1,0
1539,13,3,0,1,0,0,0,0,2,9,8,1,1,0
1541,8,8,3,1,0,0,0,0,4,16,5,2,1,0
1542,1,7,0,0,0,0,0,0,1,8,0,1,0,0
1543,0,2,1,1,0,0,0,0,1,3,2,0,0,0
1544,15,17,0,12,1,0,0,0,2,36,7,3,1,0
1545,17,28,0,13,1,0,0,0,3,45,11,3,3,0
1546,10,7,1,0,0,0,0,0,1,15,2,1,0,1
1547,4,3,1,1,0,0,0,0,0,7,2,0,0,0
1549,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1551,4,5,1,0,0,0,0,0,2,7,3,2,0,0
1552,31,8,0,14,0,0,0,0,4,36,9,12,0,0
1553,34,6,0,12,0,0,0,0,3,34,10,11,0,0
1555,5,4,0,2,0,0,0,0,0,7,3,1,0,0
1556,8,6,0,3,0,0,0,0,0,12,3,1,1,0
1557,1,2,0,1,0,0,0,0,0,4,0,0,0,0
1558,1,1,0,0,1,0,0,0,1,4,0,0,0,0
1559,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1560,5,2,0,0,0,0,0,0,1,4,3,0,0,1
1561,4,1,2,0,1,0,0,0,3,9,2,0,0,0
1562,4,7,2,0,0,0,0,0,1,12,0,2,0,0
1564,8,7,2,3,0,0,0,0,0,16,3,1,0,0
1565,1,9,0,2,0,0,0,0,2,10,3,1,0,0
1566,1,7,0,1,0,0,0,0,3,9,2,1,0,0
1567,3,0,1,0,0,0,0,0,0,4,0,0,0,0
1569,11,17,3,1,0,0,0,0,2,24,4,5,1,0
1570,15,2,0,1,0,0,0,0,2,13,6,1,0,0
1571,9,9,0,1,0,0,0,0,0,15,4,0,0,0
1572,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1575,2,2,0,2,0,0,0,0,1,5,2,0,0,0
1576,7,7,0,0,0,0,0,0,0,8,4,2,0,0
1577,7,7,1,1,1,0,0,0,2,13,5,1,0,0
1578,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1579,2,1,0,0,0,0,0,0,3,4,0,2,0,0
1580,22,11,1,5,1,1,0,0,7,33,10,4,1,0
1581,1,10,1,0,0,0,0,0,3,8,5,2,0,0
1582,24,17,3,0,2,0,0,0,3,22,14,9,4,0
1583,6,13,4,2,0,1,0,0,5,16,8,7,0,0
1584,28,8,0,1,0,0,0,0,5,29,8,3,2,0
1585,4,26,1,1,0,1,0,0,6,31,6,2,0,0
1586,4,4,0,0,0,0,0,0,3,4,3,3,1,0
1587,133,39,6,8,4,1,0,0,8,106,64,27,2,0
1588,2,1,0,2,0,0,0,0,0,3,1,1,0,0
1589,17,14,3,2,1,0,0,0,7,21,13,8,2,0
1590,43,36,6,9,1,1,0,0,7,71,24,8,0,0
1591,2,2,0,2,0,0,0,0,3,7,1,1,0,0
1592,23,9,4,0,0,0,0,0,5,23,13,4,1,0
1593,6,6,1,4,0,0,0,0,2,10,4,4,1,0
1594,16,14,1,3,0,1,0,0,4,26,9,4,0,0
1595,7,10,1,0,0,0,0,0,2,8,8,4,0,0
1596,41,39,9,5,0,1,0,0,10,60,30,14,1,0
1597,52,53,2,5,1,0,0,0,2,68,31,16,0,0
1598,12,6,0,0,1,0,0,0,1,17,3,0,0,0
1599,106,44,8,2,5,0,0,0,8,99,44,24,4,2
1600,45,19,4,1,0,0,0,0,8,32,25,17,3,0
1601,31,8,2,1,1,0,0,0,5,26,15,4,3,0
1602,20,21,5,1,2,0,0,0,9,27,19,12,0,0
1603,23,12,2,2,0,0,0,0,5,28,9,6,1,0
1604,6,12,0,0,0,0,0,0,1,14,4,1,0,0
1605,31,12,5,1,2,0,0,0,4,22,25,5,3,0
1606,0,2,0,0,0,0,0,0,0,2,0,0,0,0
1607,25,9,4,1,2,3,0,0,4,26,16,5,1,0
1608,23,3,1,0,1,0,0,0,1,14,7,5,3,0
1609,6,2,0,0,1,0,0,0,3,5,4,2,1,0
1610,8,1,2,2,0,0,0,0,0,10,1,2,0,0
1611,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1612,4,11,1,1,0,0,0,0,7,18,4,2,0,0
1613,13,16,2,3,0,0,0,0,3,19,11,6,1,0
1614,12,6,1,2,0,0,0,0,2,14,6,2,1,0
1615,21,28,1,2,1,0,0,0,2,27,13,10,4,1
1616,30,9,5,1,1,1,0,0,8,33,9,9,4,0
1617,35,15,5,0,1,0,0,0,4,34,14,9,3,0
1619,6,2,1,1,1,1,0,0,2,8,2,2,1,1
1620,28,69,5,4,4,0,0,0,2,71,28,11,2,0
1621,40,38,1,1,1,0,0,0,8,48,29,10,2,0
1622,28,29,3,3,1,0,0,0,10,40,21,10,2,1
1623,29,43,0,3,0,0,0,0,13,51,27,9,1,0
1624,54,41,10,6,2,0,0,0,14,69,35,18,4,1
1625,1,9,1,1,1,0,0,0,1,9,4,0,1,0
1626,10,14,3,0,0,2,0,0,1,18,8,4,0,0
1627,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1628,4,1,0,1,0,0,0,0,0,6,0,0,0,0
1629,37,17,3,2,2,1,0,0,6,33,23,11,0,1
1630,3,5,0,2,0,0,0,0,1,9,1,1,0,0
1631,12,2,3,3,0,0,0,0,5,10,10,4,1,0
1632,37,31,3,0,3,1,0,0,3,42,24,12,0,0
1633,4,4,0,0,0,0,0,0,1,3,4,1,1,0
1634,3,10,1,0,0,0,0,0,1,4,8,2,1,0
1635,14,20,4,0,0,0,0,0,2,21,12,6,1,0
1636,14,6,1,1,1,0,0,0,4,16,8,3,0,0
1637,21,8,2,3,2,0,0,0,4,22,11,4,3,0
1638,12,19,1,0,3,0,1,0,2,29,7,2,0,0
1639,6,0,0,0,0,0,0,0,0,4,0,2,0,0
1640,0,2,0,0,0,0,0,0,1,3,0,0,0,0
1642,44,41,10,9,4,0,1,0,4,69,28,13,3,0
1643,7,17,0,1,0,0,0,0,3,18,9,1,0,0
1644,7,11,0,3,1,0,0,0,1,15,8,0,0,0
1645,40,42,3,3,2,0,0,0,3,56,25,12,0,0
1646,8,12,0,1,1,1,0,0,1,16,4,4,0,0
1647,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1648,3,1,0,1,0,0,0,0,1,5,0,1,0,0
1649,1,4,0,4,0,0,0,0,1,6,2,2,0,0
1650,0,3,0,2,0,0,0,0,0,4,0,1,0,0
1651,10,10,0,1,0,0,0,0,1,16,4,2,0,0
1652,7,31,0,0,0,0,0,0,0,21,13,4,0,0
1653,2,11,0,0,0,0,0,0,0,9,3,1,0,0
1654,6,7,1,1,0,0,0,0,4,11,4,4,0,0
1655,15,43,0,2,1,0,0,0,5,44,14,7,1,0
1657,33,20,3,2,3,0,0,0,3,35,15,13,0,1
1658,4,4,0,1,0,0,0,0,1,7,1,2,0,0
1659,2,13,0,0,0,0,0,0,1,7,7,2,0,0
1660,4,1,1,1,0,0,0,0,1,3,3,2,0,0
1661,4,5,2,0,0,0,0,0,2,10,2,1,0,0
1662,27,46,3,0,1,2,0,0,3,48,26,5,3,0
1663,14,0,1,0,0,0,0,0,2,9,5,2,1,0
1664,0,1,0,1,0,0,0,0,1,3,0,0,0,0
1665,0,3,0,0,0,0,0,0,1,4,0,0,0,0
1666,8,4,0,0,0,0,0,0,5,12,3,2,0,0
1667,8,12,1,4,1,0,0,0,3,16,10,2,0,1
1668,12,21,2,1,1,0,1,0,2,25,9,6,0,0
1669,2,0,0,0,0,0,0,0,0,1,1,0,0,0
1670,25,46,2,6,4,0,0,0,4,57,18,9,3,0
1671,10,18,0,2,1,0,0,0,6,14,10,13,0,0
1672,9,19,1,0,1,2,0,0,0,20,7,4,0,1
1673,23,32,1,5,0,0,0,0,4,42,12,7,3,1
1674,11,6,0,0,0,0,0,0,1,4,7,7,0,0
1675,13,11,2,0,0,0,0,0,1,15,4,5,3,0
1676,11,18,0,1,0,0,0,0,1,23,3,5,0,0
1677,17,14,2,0,1,1,0,0,1,22,7,6,1,0
1678,69,64,14,15,5,0,1,0,6,115,28,27,4,0
1679,3,24,0,0,0,0,0,0,1,22,3,3,0,0
1680,6,22,1,0,0,1,0,0,5,21,8,6,0,0
1681,45,19,7,5,5,0,0,0,4,45,24,13,2,1
1682,18,10,3,1,2,0,0,0,3,15,9,10,3,0
1683,9,2,2,0,0,1,0,0,1,10,3,2,0,0
1684,2,1,0,0,0,0,1,0,1,5,0,0,0,0
1685,3,0,1,0,1,0,0,0,0,5,0,0,0,0
1686,11,9,2,2,1,0,0,0,3,18,5,4,1,0
1687,25,25,3,3,1,0,0,0,3,48,7,5,0,0
1688,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1689,12,51,3,7,2,0,0,1,1,54,10,12,1,0
1690,11,10,3,0,0,1,0,0,0,14,5,3,3,0
1691,10,13,0,3,1,0,0,0,0,22,1,3,1,0
1692,32,14,4,0,3,1,0,0,4,33,10,14,1,0
1693,10,7,2,1,0,0,0,0,4,17,4,2,1,0
1694,45,36,4,4,3,1,0,0,2,51,26,15,3,0
1695,15,4,2,0,0,0,0,0,0,8,4,7,2,0
1696,24,21,4,2,4,0,0,0,4,33,16,10,0,0
1697,18,21,4,2,3,0,0,0,4,34,10,7,1,0
1698,41,27,2,6,4,1,0,0,2,48,17,15,3,0
1699,7,2,0,1,0,0,0,0,1,4,2,5,0,0
1700,50,32,5,4,5,0,0,0,1,61,19,15,2,0
1701,14,9,0,0,5,0,0,0,3,13,10,6,2,0
1702,13,44,2,4,1,0,0,0,7,41,17,9,4,0
1703,4,9,1,0,0,0,0,0,4,7,5,5,1,0
1704,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1705,12,7,2,0,0,0,0,0,2,15,4,4,0,0
1706,21,8,1,1,2,0,0,0,5,19,7,11,1,0
1707,5,6,1,0,0,0,0,0,1,10,1,1,1,0
1708,16,17,1,2,1,0,0,0,1,22,11,5,0,0
1709,30,11,4,0,0,1,0,0,1,21,14,10,1,1
1710,1,3,0,0,0,0,0,0,0,4,0,0,0,0
1711,26,42,1,6,2,0,1,0,4,49,20,13,0,0
1713,4,10,0,0,2,0,0,0,1,11,4,2,0,0
1714,30,21,4,4,6,0,0,0,4,34,18,13,4,0
1715,12,58,1,6,1,0,0,0,1,61,13,5,0,0
1716,26,27,1,4,1,0,0,0,2,37,13,11,0,0
1717,5,3,2,0,0,0,0,0,0,9,1,0,0,0
1718,6,0,2,0,1,0,0,0,2,5,1,5,0,0
1720,19,16,2,7,1,1,1,0,2,32,10,6,1,0
1722,29,7,0,1,1,0,0,0,0,22,9,7,0,0
1723,1,4,0,0,0,0,0,0,1,3,3,0,0,0
1724,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1725,3,0,0,0,0,0,0,0,1,3,1,0,0,0
1726,20,3,2,0,0,0,0,0,2,22,3,2,0,0
1728,22,9,0,1,1,0,0,0,4,15,8,10,4,0
1729,21,9,3,2,2,1,0,0,3,23,10,8,0,0
1730,27,4,2,0,4,0,0,0,0,22,8,7,0,0
1731,26,5,2,3,0,0,0,0,4,18,7,13,1,1
1732,11,15,1,1,0,0,0,0,3,16,11,4,0,0
1733,49,25,6,2,1,0,0,0,1,37,19,23,5,0
1735,3,6,1,0,0,0,0,0,1,7,2,2,0,0
1736,12,1,1,1,0,0,0,0,4,8,6,4,1,0
1737,13,5,4,1,0,0,0,0,2,9,9,3,2,2
1738,5,1,0,0,0,0,0,0,0,2,3,1,0,0
1739,4,8,1,0,0,0,0,0,3,9,5,2,0,0
1740,30,31,6,1,1,1,0,0,3,50,16,5,2,0
1741,0,2,0,0,1,0,0,0,1,4,0,0,0,0
1742,7,24,0,0,0,0,0,0,1,13,14,4,1,0
1743,16,9,3,1,0,1,0,0,4,23,5,5,1,0
1744,9,11,2,2,0,1,0,0,4,22,5,2,0,0
1745,2,0,0,0,0,0,0,0,1,2,0,1,0,0
1746,10,11,1,0,0,0,0,0,6,15,7,6,0,0
1747,0,1,0,0,0,0,0,0,1,2,0,0,0,0
1748,1,0,0,2,0,0,0,0,1,2,0,2,0,0
1749,34,14,1,4,1,1,0,0,6,32,13,13,2,1
1750,19,5,2,1,3,1,0,0,6,19,9,8,1,0
1751,4,3,0,0,0,0,0,0,1,3,3,2,0,0
1752,5,0,0,0,0,0,0,0,2,4,0,1,2,0
1753,4,1,1,0,0,1,0,0,0,3,2,1,1,0
1754,27,5,3,0,2,1,0,0,5,19,9,12,3,0
1755,7,2,0,0,0,1,0,0,0,7,1,2,0,0
1756,10,0,0,0,0,0,0,0,1,6,1,3,1,0
1757,21,1,2,3,0,1,0,0,3,18,3,8,2,0
1758,31,8,0,5,0,0,0,0,1,26,13,6,0,0
1759,7,2,0,0,1,0,0,0,3,9,1,2,1,0
1760,16,2,0,0,0,0,0,0,0,8,5,5,0,0
1761,11,4,1,1,0,1,0,0,0,8,4,5,1,0
1762,13,3,1,0,1,0,0,0,9,8,5,9,4,1
1763,1,2,0,1,0,0,0,0,0,3,0,1,0,0
1764,6,10,1,0,0,1,0,0,5,10,7,5,1,0
1765,6,5,1,0,0,2,0,0,0,7,3,4,0,0
1766,5,5,0,4,0,0,0,0,5,12,2,4,1,0
1767,2,5,0,0,0,0,0,0,1,5,2,1,0,0
1769,22,13,2,4,0,0,0,0,4,27,9,8,1,0
1772,3,0,1,0,0,1,0,0,2,6,0,0,1,0
1773,21,5,0,1,1,0,0,0,4,11,10,9,1,1
1774,27,15,3,0,2,1,0,0,8,27,16,13,0,0
1775,1,1,0,0,0,0,0,0,2,1,2,1,0,0
1776,4,2,0,1,0,0,0,0,0,5,1,1,0,0
1777,7,9,0,1,0,0,0,0,1,11,3,4,0,0
1778,6,5,2,0,0,0,0,0,4,8,5,4,0,0
1779,8,5,0,0,0,0,0,0,2,7,5,2,1,0
1780,4,4,0,0,0,0,0,0,2,7,2,1,0,0
